author,title,imprint,nationality,date,htid
"Irving, Washington","The legend of Sleepy Hollow, and The spectre bridegroom. From the ""Sketch book""","Philadelphia, London;J.B.",uk,1875,nyp.33433076087786
"Hawthorne, Nathaniel,",The Complete short stories of Nathaniel Hawthorne.,"Garden City, N. Y.|Hanover House|c1959",nyu,1959,inu.30000006646032
"Arnow, Harriette Louisa Simpson",Mountain path,New York|Covici-Friede|19,uk,1936,mdp.39015002243486
"Teilhet, Darwin L. (Darwin Le Ora)",Something wonderful to happen : a charivari,New York|London|D. Applet,us,1947,uc1.$b105795
"Romines, Ann, 1942-","Constructing the Little house : gender, culture, and Laura Ingalls Wilder / Ann Romines","University of Massachusetts Press, c1997",mau,1997,mdp.39015040067806
"Spencer, Herbert, 1820-1903.","Social statics; the conditions essentials to human happiness specified, and the first of them developed.","Robert Schalkenbach Foundation, 1954.",nyu,1954,mdp.39076005855460
"Pollio, David Erik.","Getting out, getting over, or getting by : social construct ""on the streets"" / by David Erik Pollio.",1994,miu,1994,mdp.39015032968268
,Stronger than death : | short stories of the Russians at war / | $c: illustrations by Giacomo Patri.,San Francisco|American Russian Institute for Cultural Relations with the Soviet Union|1944.,cau,1944,uc1.$b605087
,The American heritage book of great historic places. / Narrative by Richard M. Ketchum. Introd. by Bruce Catton.,"American Heritage Pub. Co., [1957]",nyu,1957,mdp.39015019187676
"Wheeler, Ruth Lellah Carr,","We follow the western trail, | $c: by Ruth Wheeler; photographs by H. D. and Ruth Wheeler.",New York|The Macmillan company|1941.,nyu,1941,uc1.b3121959
"Head, Ann",Always in August,"Garden City, N.Y.|Doubled",us,1961,mdp.39015042099278
"Judson, Katharine Berry.","Myths and legends of the Mississippi Valley and the Great Lakes, selected and ed. by Katharine B. Judson ...","A.C. McClurg & Co., 1914.",inu,1914,uc2.ark:/13960/fk22b8vh0p
"Harben, Will N. (William Nathaniel)",Abner Daniel : a novel,New York;Harper;1902.,us,1902,nyp.33433081852992
"Cooper, Dennis,",The missing men / | $c: Dennis Cooper.,"Santa Barbara, Calif.|Am Here Press/Immediate Editions|c1981.",cau,1981,uc1.32106009863165
"Morrow, Lesley Mandel.","Current strategies for literacy development in early childhood science texts / Lesley Mandel Morrow, Kathleen Cunningham, Melody Murray-Olsen.","National Reading Research Center, [1994]",gau,1994,uga1.32108024964952
"Bisson, Terry.",Fire on the mountain / | $c: Terry Bisson.,New York|Arbor House|c1988.,nyu,1988,mdp.49015000320532
"Austin, Oscar P. 1848?-1933",Uncle Sam's secrets : a story of national affairs for the youth of the nation / by Oscar Phelps Austin.,"D. Appleton and Co., 1916.",nyu,1916,hvd.hn1rsn
