author,title,imprint,nationality,inferreddate,htid
"Wyatt, Isabel.","The golden stag, and other folk tales from India, | $c: selected and retold by Isabel Wyatt. Illustrated by Anne Marie Jauss.",New York|D. McKay Co.|1962,nyu,1962,mdp.39015012298678
"Sanford, Charles L., 1920-",The quest for paradise : Europe and the American Moral imagination / Charles L. Sanford.,"AMS Press, [1979]",nyu,1979,mdp.39015010849472
"Ackerknecht, Erwin Heinz, 1906-","History and geography of the most important diseases, by Erwin H. Ackerknecht. Pref. by George Rosen.","Hafner Pub. Co., 1965.",nyu,1965,umn.31951p00451979d
"Laufer, Bernhardt. [from old catalog]",The white indian,"Buffalo, N.Y.;s.n.;1889.",,1889,loc.ark+=13960=t6j10qn99
"Strickland, Agnes",How will it end?,London;R. Bentley;1865.,uk,1865,uiuo.ark+=13960=t7qn6s33c
"MacIver, Joyce.",The exquisite thing.,New York|Putnam|1968,nyu,1968,uc1.b4355110
"Hall, Robert A. 1911-1997.",Idealism in Romance linguistics.,Cornell University Press [1963],nyu,1963,mdp.39015004765106
"McKelvie, Martha Groves.","Presidents, politicians, and people I have known.",Franklin Pub. Co. [1970?],pau,1970,wu.89058443284
"Shallo, Michael W.","Lessons in scholastic philosophy,","P. Reilly, [1916]",pau,1915,uva.x001325713
"Oguntoye, Jide",Harvest of tricksters,Ibadan|Onibonoje Press & ,ni,1988,inu.30000004325878
"Douglas, Amanda Minnie",Whom Kathie married,Boston;Lee and Shepard;Ne,us,1883,uc2.ark+=13960=t7zk58f5q
"McGill, Ralph, 1898-1969.","The best of Ralph McGill : selected columns / [compiled] by Michael Strickland, Harry Davis, Jeff Strickland.","Cherokee Pub. Co., 1980.",gau,1980,uc1.b4112475
"Stevenson, Robert Louis, 1850-1894.",The black arrow : a tale of two roses / by Robert Louis Stevenson ; illustrated.,"C. Scribner, 1914.",nyu,1888,uc2.ark:/13960/t6ww78j13
"O'Connor, William Van,",Campus on the river.,New York|Crowell|1959,nyu,1959,uc1.b3710789
"Van Dyke, Henry, 1852-1933.",Out-of-doors in the Holy Land: impressions of travel in body and spirit / by Henry Van Dyke.,"Scribner's, 1911.",nyu,1911,nnc1.cr61147010
"Blasi, Anthony J.","Toward an interpretive sociology / Anthony J. Blasi, Fabio B. Dasilva, Andrew J. Weigert.","University Press of America, c1978.",dcu,1978,mdp.39015013437598
"Kendrick, Baynard Hardwick",The flames of time,"Garden City, N.Y.|Sun Dia",us,1948,pst.000022698933
"Karp, David,",The day of the monkey.,New York|Vanguard Press|1955,nyu,1955,mdp.39015030699808
"Garner, James Wilford, 1871-1938.","Government in the United States, national, state, and local / by James W. Garner.","American book company, 1916.",nyu,1916,hvd.32044097049910
"Rinehart, Mary Roberts, 1876-1958.","Tenting to-night; a chronicle of sport and adventure in Glacier park and the Cascade mountains, by Mary Roberts Rinehart.","Houghton Mifflin company, 1918.",mau,1917,uc2.ark:/13960/t3125wn18
"Shattuck, John.","Government information controls : implications for scholarship, science and technology / by John Shattuck and Muriel Morisey Spence.","Association of American Universities, 1988]",dcu,1988,mdp.39015013517480
"Maher, James T.",The distant music of summer : | a novel / | $c: by James T. Maher.,"Boston|Little, Brown|c1979.",mau,1979,mdp.39015048903655
"Pollini, Francis.",The crown.,New York|Putnam|1967,nyu,1967,uc1.b4355146
