author,title,imprint,nationality,inferreddate,htid
"Soderquist, Harold Oliver, 1894-",The person and education; a new approach to philosophy of education for democracy.,Merrill 1964,ohu,1964,mdp.39015026974066
"Standish, Burt L., 1866-1945.",Frank Merriwell's chums / by Burt L. Standish [i.e. G. Patten],"D. McKay, 1902.",inu,1896,uc2.ark:/13960/t0zp3w43h
"Swedenborg, Emanuel, 1688-1772.","The economy of the animal kingdom, considered anatomically, physically, and philosophically / by Emanuel Swedenborg ; translated from the Latin by the Rev. Augustus Clissold.","New Church Board of Publication, 1903.",nyu,1903,nnc1.cu04810163
"Overton, Grant M. 1887-1930.",Cargoes for Crusoes / by Grant Overton.,"D. Appleton & company : George H. Doran Company ; Little, Brown, and company, c1924.",nyu,1924,mdp.39015010923012
"Goldwater, Barry M. 1909-1998.","Goldwater / by Barry M. Goldwater, Jack Casserly.","Doubleday, c1988.",nyu,1988,mdp.39015013407500
"Howard, M. W. (Milford Wriarson)",Peggy Ware,"Los Angeles, Cal.;Publish",us,1921,uc2.ark+=13960=t0sq8zn5q
"Muelder, Hermann R. 1905-","Years of this land, a geographical history of the United States, by Hermann R. Muelder and David M. Delo.","D. Appleton-Century company, incorporated, 1943.",nyu,1943,mdp.39015059429731
"A. L. O. E., 1821-1893.",The Spanish cavalier : a story of Seville / by A. L. O. E.,"T. Nelson and Sons, 1900.",nyu,1875,uc2.ark:/13960/t7tm76q79
"Gates, Arthur I. 1890-1972.","Psychology for students of education, by Arthur I. Gates ...","Macmillan Co., 1928, c1923.",nyu,1923,uc1.$b72950
"Harrison, Elizabeth, 1849-1927.",A study of child-nature from the kindergarten standpoint / by Elizabeth Harrison.,"National Chicago kindergarten college, 1914, c1890.",ilu,1914,uc2.ark:/13960/t4nk3kq3p
"Buckley, Horace Mann",Road to safety;,New York|American Book Co,,1938,uc1.$b15215
"Schiappacasse, Joseph T.",Why winners win : or psychology applied to sports / by Joseph T. Schiappacasse.,"International Sales Co., [c1927].",miu,1927,mdp.49015003094308
"Clarke, Arthur C. (Arthur Charles),",The other side of the sky; | stories.,"New York|Harcourt, Brace|1958",nyu,1958,mdp.39015024076500
