author,title,imprint,nationality,inferreddate,htid
"Beach, Rex",Heart of the sunset,New York &;London;Harper ,us,1915,nyp.33433074837331
"Holland, Clive",Brown face and white,"London;Hurst & Blackett, ",,1911,uc2.ark+=13960=t6n017c11
"Smeaton, William Henry Oliphant",A mystery of the Pacific,"London;Blackie & Son, Ltd",uk,1899,uc1.32106008957109
"Gunn, Neil Miller",Highland river,Philadelphia|London|J. B.,uk,1937,uc1.$b56750
"Boles, Robert","The people one knows, a novel",Boston|Houghton Mifflin|1,us,1964,mdp.39015016454582
"Taine, John,",The cosmic geoids : | and one other / | $c: [by] John Taine [pseud.] ; illustrated by Lou Goldstone.,"Los Angeles|Fantasy publishing co., inc.|1949.",cau,1949,umn.319510020679349
"Tibbetts, Albert B.","Youth, youth, youth; | $c: stories of challenge, confidence and comradeship.",New York|F. Watts|1955,nyu,1955,uc1.b4098773
"Bernard, Charles de, 1804-1850.","Gerfaut,","Current literature publishing company, 1910.",ilu,1905,uc2.ark:/13960/t85h7dj6d
"Sully, James, 1842-1923.","Studies of childhood, by James Sully ...","D. Appleton and Co., 1914.",nyu,1914,iau.31858049171782
"Lenski, Lois",Houseboat girl,Philadelphia|Lippincott|1,us,1957,mdp.39076006981612
"Hospers, John, 1918-2011",Artistic expression.,Appleton-Century-Crofts [1971],nyu,1971,uva.x000531502
,Pacific philosophy forum.,University of the Pacific Philosophy Institute.,cau,1980,uiug.30112032542380
"Steel, Danielle.",The ranch / | $c: Danielle Steel.,New York|Delacorte Press|1997.,nyu,1997,mdp.39015041103303
"Fisher, Dorothy Canfield,",The depening stream : | by Dorothy Canfield.,New York|Modern Library|1938.,nyu,1938,uc1.b3688418
"Orwell, George",Burmese days; a novel,"New York|Harcourt, Brace|",uk,1934,uc1.32106013300873
"Cone, Joe",The waybackers,Boston;The Colonial press,us,1905,nnc1.1002173220
"Reiser, Oliver Leslie, 1895-1974.",Philosophy and the concepts of modern science / by Oliver L. Reiser.,"The Macmillan Company, ©1935.",nyu,1935,mdp.39015030980604
"Van Dyke, Henry, 1852-1933.","Companionable books, by Henry Van Dyke.","C. Scribner's sons, 1927.",nyu,1927,iau.31858024227237
"Evans, David.","Sand against the wind, | $c: by Lewis Arnold [pseud.]",New York|Dutton|1954.,nyu,1954,uc1.b3346889
"Morgan, C. Lloyd 1852-1936.","The interpretation of nature,","G. P. Putnam's sons, 1906.",nyu,1906,hvd.hnvcvv
"Kingman, Lee.",The Saturday gang. | $c: Illustrated by Burt Silverman.,"Garden City, N. Y.|Doubleday|1961",nyu,1961,mdp.39015024087069
"Murphy, Lois Barclay, 1902-2003.",Emotional factors in learning.,"Columbia university press, 1944.",nyu,1944,mdp.39015003486753
,Three Negro classics : Up from slavery / Booker T. Washington. The souls of black folk / William E.B. Dubois. The autobiography of an ex-colored man / James Weldon Johnson ; with an introduction by John Hope Franklin.,"Avon Books, [1965]",nyu,1965,ucbk.ark:/28722/h28g8fz5t
"Young, Paul Thomas, 1892-1978",Motivation of behavior; the fundamental determinants of human and animal activity.,Wiley [1950],nyu,1950,hvd.hnq5bv
"Haywood, Harry, 1898-1985.",Black Bolshevik : autobiography of an Afro-American Communist / Harry Haywood.,"Liberator Press, [c1978]",ilu,1978,mdp.39015002633165
"Scheffler, Israel.",Conditions of knowledge;,"Scott, Foresman [1965]",ilu,1965,umn.31951000816207z
"Maurois, Andr�",The collected stories of Andr� Maurois,Wash.|Square press|1967.,fr,1967,mdp.39015009057087
,Adventures of Bilberry Thurland,London;R. Bentley;1836.,,1836,uc2.ark+=13960=t3610x82j
"Vance, Louis Joseph, 1879-1933.",Terence O'Rourke : gentleman adventurer / by Louis Joseph Vance.,"Bobbs-Merrill, 1907.",nyu,1904,uc2.ark:/13960/t9b56g18g
,"The American political family / Donn M. Kurtz II, editor.","University Press of America, c1993.",mdu,1993,mdp.39015028914367
"Neumark, David, 1866-1924.","The philosophy of the Bible, by David Neumark.","Ark publishing company, 1918.",ohu,1918,coo1.ark:/13960/t4hm5t63q
"Fiske, John, 1842-1901.","Civil government in the United States, considered with some reference to its origins, by John Fiske.","Houghton, Mifflin and company [1902]",mau,1902,hvd.32044020442414
"Larsson, GoÃàsta,","The ordeal of the Falcon, | $c: by GoÃàsta Larsson.",New York|Vanguard Press|c1941,nyu,1941,uc1.$b106060
"Morse, John T., Jr. 1840-1937.","Thomas Jefferson / John T. Morse, Jr. ; introd. by Merill D. Peterson.","Chelsea House : [distributed by Scribner Book Companies], 1980.",nyu,1980,coo.31924011845777
"Tate, Allen, 1899-1979.",Reactionary essays on poetry and ideas.,Books for Libraries Press [1968],nyu,1968,uva.x000537623
"Mayer, J. P. 1903-1992",Political thought : the European tradition / by J.P. Mayer ; in co-operation with R.H.S. Crossman ... [et al.].,"Viking, 1939.",nyu,1939,mdp.39015003652032
,"What feather, | stories and verse, | $c: by L. S. Brown, A. E. Dubois, E. N. Hooker [and] M. C. Thomas.","Syracuse, N.Y.|Pendragon Press|1928",nyu,1928,mdp.39015059373020
"Cameron, William John, 1879-1955.",The Ford Sunday evening hour talks ...,[Ford Motor Company] 1936-,miu,1935,uc1.b3136348
"Gregg, Frank M. 1864-1937","The founding of a nation : the story of the Pilgrim fathers, their voyage on the Mayflower, their early struggles, hardships and dangers, and the beginnings of American democracy, as told in the journals of Francis Beaumont, cavalier / by Frank M. Gregg...","The Arthur H. Clark company, 1915.",nyu,1915,uc2.ark:/13960/t8qb9zg7m
"Fisher, Dorothy Canfield,","Her son's wife, | by Dorothy Canfield.","New York|Harcourt, Brace and Company|c1926",nyu,1926,uc1.$b244182
"Banks, G. Linnaeus (George Linnaeus), Mrs",God's providence house,London;R. Bentley;1865.,uk,1865,uiuo.ark+=13960=t0dv1sx9g
Medical College of Virginia.,"Symposium on colonial medicine, in commemoration of the 350th anniversary of the settlement of Virginia. Sponsored jointly by the Medical College of Virginia Foundation and the American Association of the History of Medicine, Richmond, Virginia, May 7, 1957. Papers by: Sir George N. Clark, J.J. Keevil, Saul Jarcho, Whitfield J. Bell, Jr. [and] Wyndham B. Blanton.","Jamestown-Williamsburg-Yorktown Celebration Commission and the Virginia 350th Anniversary Commission, 1957.",vau,1957,mdp.39015006698495
"Asch, Sholem",The apostle,New York|G.P. Putnam's So,po,1943,uc1.b4368241
Plato.,Plato's Meno / translated by Benjamin Jowett ; with an introduction by Fulton H. Anderson.,"Bobbs-Merrill, 1957, c1949.",inu,1957,mdp.39015054134070
