author,title,imprint,nationality,date,htid
"Lippincott, Joseph Wharton",Persimmon Jim : the 'possum,Philadelphia|Penn Pub. Co,us,1924,mdp.39076002656721
"White, Stewart Edward, 1873-1946.",Rules of the game / by Stewart Edward White.,"T. Nelson and Sons, 1911.",pau,1910,uc2.ark:/13960/t2k64b10s
"Blount, Roy.","First Hubby / | $c: Roy Blount, Jr.",New York|Villard Books|1990.,nyu,1990,mdp.39015018982119
"Applebaum, Herbert A.",Blue chips / | $c: by Herbert A. Applebaum.,"Lawrenceville, Va.|Brunswick Pub. Co.|1985.",vau,1985,coo.31924001097280
"Shreve, Susan Richards.",A woman like that / | $c: Susan Richards Shreve.,New York|Atheneum|1977.,nyu,1977,mdp.39015048898061
"Ginzburg, Natalia.",Voices in the evening.,New York|Dutton|1963.,nyu,1963,mdp.39015010410929
"Roche, Regina Maria","The houses of Osma and Almeria; or, Convent of St. Ildefonso. A tale",Philadelphia;Published by,uk,1810,nyp.33433075723134
"Higham, John, 1937-","Strangers in the land; patterns of American nativism, 1860-1925.","Atheneum, c1973.",nyu,1973,pst.32239001535059
"Bremer, Sidney H., 1944-",Urban intersections : meetings of life and literature in United States cities / Sidney H. Bremer.,"University of Illinois Press, c1992.",ilu,1992,mdp.39015020845882
"Skouen, Arne",Stokers' mess;,New York|A. A. Knopf|1948,no,1948,uc1.$b136780
"Kramer, Nora",The cozy hour storybook,New York|Random House|c19,us,1960,pst.000007801778
,Science of legal method; select essays by various authors. Translations by Ernest Bruncken and Layton B. Register. With introductions by Henry N. Sheldon and by John W. Salmond.,"Macmillan, 1921.",nyu,1921,coo1.ark:/13960/t3hx1x18f
"Murasaki Shikibu,",The tale of Genji / | $c: Murasaki Shikibu ; translated with an introduction by Edward G. Seidensticker.,"New York|Alfred A, Knopf|c1976.",nyu,1925,mdp.39015020740315
"Benson, Stella,","Goodbye, stranger / | y Stella Benson.",New York|Macmillan|1926.,nyu,1926,uc1.$b322707
National Research Council (U.S.). Office of Scientific Personnel.,"The baccalaureate origins of the science doctorates awarded in the United States from 1936 to 1950 inclusive. Compiled by the Office of Scientific Personnel, M. H. Trytten, director.","National Academy of Sciences, National Research Council, 1955.",dcu,1955,mdp.39015030712510
"Wilson, Francis Graham, 1901-1976",The American political mind : a textbook in political theory.,"Greenwood Press, [1970, c1949].",xxu,1949,pst.000028554844
"Husband, Joseph, 1885-1938.","Americans by adoption; brief biographies of great citizens born in foreign lands, by Joseph Husband, with an introduction by William Allan Neilson.",The Atlantic monthly press [c1920],mau,1920,hvd.32044097037196
"O'Higgins, Harvey Jerrold, 1876-1929.","The American mind in action, by Harvey O'Higgins and Edward H. Reede, M. D.","Harper & brothers, 1924.",nyu,1924,mdp.39015025877021
"Craddock, William J.",Be not content | [a subterranean journal | $c: by] William J. Craddock.,"Garden City, N.Y.|Doubleday|1970.",nyu,1970,mdp.39015030741295
"Marsh, Richard, d. 1915.",A spoiler of men.,"Chatto & Windus, 1921 [c1911]",nyu,1905,uc2.ark:/13960/t1zc8004h
