author,title,imprint,nationality,inferreddate,htid
"DuBois, David Graham",And bid him sing : a novel,"Palo Alto, Calif.|Rampart",us,1975,mdp.39015031232757
"Gross, Martin L. 1925-",The brain watchers.,Random House [1962],nyu,1962,mdp.39015013008225
"Parsons, Talcott, 1902-1979.","Toward a general theory of action [by] Talcott Parsons [and] Edward A. Shils, editors; Edward C. Tolman [and others]","Harper & Row, 1962, c1951.",nyu,1962,mdp.49015000141508
"Pan-American Scientific Congress. Santiago, Chile, 1908.","Report of the delegates of the United States to the Pan-American scientific congress held at Santiago, Chile, Dec. 25, 1908 to Jan. 5, 1909.",Govt. printing office. 1909.,dcu,1909,coo1.ark:/13960/t4jm2vd30
"Vaizey, John, 1929-1984.",The economics of education.,Free Press of Glencoe [1962],nyu,1962,mdp.39015007070058
,"The British novelists; with an essay, and prefaces, biographical and critical",London;s.n.;1820.,,1820,nyp.33433074927645
,A Wider giving : women writing after a long silence / edited & with an introduction by Sondra Zeidenstein.,"Chicory Blue Press, c1988.",ctu,1988,mdp.39015032334826
"Buck, Pearl S. (Pearl Sydenstricker),","The time is noon; | a novel, | $c: by Pearl S. Buck.","New York|John Day Co.|1967, c1966",nyu,1966,mdp.39015008299763
"Golightly, Walton","AmaZulu : being the many divers adventures of the Induna & the boy among the People of the Sky in the time of Shaka kaSenzangakhona, King of Kings",London|Quercus|2008.,sa,2008,mdp.39015077669524
"Shestov, Lev, 1866-1938.",All things are possible / by Leo Shestov ; authorised translation by S.S. Koteliansky ; with a foreword by D.H. Lawrence.,"R. M. McBride, 1920.",nyu,1920,mdp.39015021911733
"Zhongguo gong chan dang. Zhong yang wei yuan hui,, 中国共产党. 中央委員会,","Zhong gong zhong yang guan yu wu chan jie ji wen hua da ge ming wen jie xuan bian / Yunnan Sheng jiao yu ting bian.,中共中央关于无产阶级文化大革命文件选编 / 云南省教育厅编.","Center for Chinese Research Materials, Association of Research Libraries, [1974?], [云南省教育厅], 1967.",dcu,1974,pst.000024408202
"Streeter, Burnett Hillman, 1874-1937.","Reality; a new correlation of science and religion, by Burnett Hillman Streeter ...","The Macmillan company, 1929.",nyu,1929,mdp.39015062240166
"Pushkin, Aleksandr Sergeevich, 1799-1837.",Marie : a story of Russian love / from the Russian of Alexander Pushkin ; by Marie H. de Zielinska.,"A.C. McClurg & Co., 1914.",nyu,1877,uc2.ark:/13960/t3ws8jw8s
"Lederman, Leon M.","The God particle : if the universe is the answer, what is the question? / Leon Lederman with Dick Teresi.","Houghton Mifflin, 1993.",mau,1993,mdp.39015029237594
"Scott, Walter Dill, 1869-1955.","The theory and practice of advertising a simple exposition of the principles of psychology in their relation to successful advertising, by Walter Dill Scott.","Small, 1912 [c1903]",mau,1912,nnc2.ark:/13960/t56d7dx4t
"MarÃ©, Leon",Dying is not easy,London|Janus|1996.,sa,1996,inu.30000055841815
"More, Paul Elmer, 1864-1937.",On being human.,"Books for Libraries Press, 1968 [c1936] Princeton University Press, 1936",nyu,1936,mdp.39015015191888
"Christie, Howard E.",Within the hourglass.,Philadelphia|Dorrance|c1963,pau,1963,uc1.$b251992
"Morgan, Arthur James, 1930-","Mental health & mental illness / Arthur James Morgan, Mabyl K. Johnston.","Lippincott, c1976.",pau,1976,mdp.39015009574826
"Chakhotin, Sergeĭ, 1883-","The rape of the masses; the psychology of totalitarian political propaganda, by Serge Chakotin; translated by E. W. Dickes.","Alliance Book Corporation, [c1940].",nyu,1940,uc1.$b20592
"Parkman, Francis, 1823-1893.",The works of Francis Parkman.,"C. Scribner's Sons, 1915.",nyu,1915,wu.89077080828
"Plant, James Stuart, 1890-1947",Sociological factors challenging the practice of psychiatry ....,1929,mdu,1929,coo.31924013872720
"Hunt, Elgin F.",Social science; an introduction to the study of society.,Macmillan [1955],nyu,1955,mdp.39015081244991
"Dostoyevsky, Fyodor,",The village of Stepanchikovo and its inhabitants : | from the notes of an unknown / | $c: Fyodor Dostoyevsky ; translated with an introduction by Ignat Avsey.,"Ithaca, N.Y.|Cornell University Press|1987.",nyu,1987,mdp.39015014606456
"Jefferson, Frederica Young, 1925-",Fostering cooperative attitudes in children through an action program.,1956,nyu,1956,coo.31924003560871
